# DigitalOscilloscope capture
# format_version=2
# metadata_correction=adc_range_labels_swapped_after_measurement
# original_recorded_adc_range_vpp_ch1=2
# original_recorded_adc_range_vpp_ch2=2
# physical_adc_range_vpp_ch1=1
# physical_adc_range_vpp_ch2=1
# voltage_columns_status=not_validated_after_adc_range_correction
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:56:28+00:00
# capture_name=harmonics_1vpp_1to100_profile5Vdiv_g45p00_07.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=normal
# voltage_display_mode=calibrated_volts
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=1286
# firmware_status_timestamp=2026-08-23T20:56:28+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=45.00
# firmware_afe_ch1_offset_pct=49.98
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=1
# firmware_afe_ch2_gain_pct=45.00
# firmware_afe_ch2_offset_pct=50.02
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=1
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=45.0000
# afe_offset_pct_ch1=49.9800
# calibration_profile_ch1=ch1_1to100
# normal_requested_volts_per_div_ch1=5
# calibration_volts_per_code_ch1=0.00262986607407
# calibrated_volts_per_div_ch1=5.3859657197
# displayed_volts_per_div_ch1=5
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=45.0000
# afe_offset_pct_ch2=50.0200
# calibration_profile_ch2=ch2_1to100
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.00264756886989
# calibrated_volts_per_div_ch2=5.42222104552
# displayed_volts_per_div_ch2=5
# measurement_type=harmonics
# series_id=harmonics_1vpp_1to100_profile5Vdiv_g45p00
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=16
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=1
# sense_ch2_vpp=1
# series_total=10
# repetition_index=7
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw,ch1_volts,ch2_volts
80,12657,12926,11.742352,12.533591
81,10238,10273,5.38070599,5.50959082
82,7771,7851,-1.10717362,-0.902820985
83,4970,5025,-8.47342849,-8.38485061
84,3034,2759,-13.5648492,-14.3842417
85,1692,1438,-17.0941295,-17.8816801
86,1415,1298,-17.8226024,-18.2523398
87,2082,1774,-16.0684817,-16.992097
88,3948,3690,-11.1611516,-11.9193551
89,6069,6134,-5.58320568,-5.44869673
90,8965,8850,2.03288648,1.74210032
91,11472,11476,8.62596072,8.69461617
92,13560,13576,14.1171211,14.2545108
93,14796,15016,17.3676356,18.06701
94,15094,15269,18.1513356,18.7368449
95,14411,14596,16.3551371,16.955031
96,12685,12586,11.8159883,11.6334176
97,10449,10426,5.93560773,5.91466886
98,7597,7704,-1.56477031,-1.29201361
99,5031,5112,-8.31300666,-8.15451212
100,2952,2937,-13.7804982,-13.9129744
101,1580,1296,-17.3886745,-18.2576349
102,1483,1139,-17.6437715,-18.6733032
103,2245,1998,-15.6398135,-16.3990416
104,3753,3632,-11.6739755,-12.072914
105,6202,6278,-5.23343349,-5.06744682
106,8846,8569,1.71993241,0.998133464
107,11461,11374,8.5970322,8.42456414
108,13673,13691,14.414296,14.5589812
109,14776,15212,17.3150382,18.5859335
110,15078,15091,18.1092578,18.2655776
111,14391,14565,16.3025398,16.8729564
112,12685,12828,11.8159883,12.2741293
113,10314,10227,5.58057581,5.38780265
114,7643,7836,-1.44379647,-0.942534518
115,5024,5206,-8.33141572,-7.90564065
116,3026,2959,-13.5858881,-13.8547279
117,1689,1373,-17.1020191,-18.0537721
118,1334,1143,-18.0356215,-18.662713
119,2160,2255,-15.8633522,-15.7186164
120,3856,3858,-11.4030993,-11.4745635
121,6160,5749,-5.34388786,-6.46801075
122,8961,8903,2.02236701,1.88242147
123,11503,11440,8.70748657,8.59930369
124,13494,13398,13.9435499,13.7832435
125,14855,14922,17.5227977,17.8181385
126,15032,15356,17.9882839,18.9671834
127,14370,14470,16.2473126,16.6214374
128,12637,12882,11.6897547,12.417098
129,10266,10385,5.45434224,5.80611853
130,7762,7638,-1.13084241,-1.46675315
131,4925,4776,-8.59177246,-9.04409526
132,3008,3195,-13.6332257,-13.2299016
133,1679,1359,-17.1283177,-18.0908381
134,1460,1195,-17.7042584,-18.5250394
135,2080,2001,-16.0737414,-16.3910989
136,3860,3820,-11.3925798,-11.5751711
137,6183,6149,-5.28340094,-5.4089832
138,8830,8542,1.67785456,0.926649104
139,11436,11465,8.53128554,8.66549291
140,13536,13655,14.0540043,14.4636687
141,14767,15020,17.2913694,18.0776002
142,15103,15301,18.1750044,18.8215671
143,14251,14249,15.9343585,16.0363246
144,12762,12963,12.018488,12.6315511
145,10212,10300,5.31232947,5.58107518
146,7670,7700,-1.37279009,-1.30260388
147,4980,5058,-8.44712983,-8.29748084
148,2972,2930,-13.7279009,-13.9315074
149,1656,1531,-17.1888047,-17.6354562
150,1418,929,-17.8147128,-19.2292927
151,2085,1803,-16.0605921,-16.9153175
152,3928,3627,-11.2137489,-12.0861519
153,6235,6261,-5.14664791,-5.11245549
154,8907,8778,1.88035424,1.55147536
155,11451,11505,8.57073354,8.77139567
156,13470,13637,13.8804331,14.4160125
