input_frequency_hz,ch1_amplitude_pp_codes_mean,ch1_amplitude_pp_codes_std,ch2_amplitude_pp_codes_mean,ch2_amplitude_pp_codes_std,ch1_snr_db_mean,ch1_snr_db_std,ch1_sinad_db_mean,ch1_sinad_db_std,ch1_enob_mean,ch1_enob_std,ch1_n_harmonics_used,ch2_snr_db_mean,ch2_snr_db_std,ch2_sinad_db_mean,ch2_sinad_db_std,ch2_enob_mean,ch2_enob_std,ch2_n_harmonics_used,ch1_response_db,ch1_response_std_db,ch2_response_db,ch2_response_std_db
996093.75,14578.673365892868,1.4402546552058795,14565.355573457704,2.1183368149528152,38.67710607357357,0.23252682221494012,38.614059593575874,0.2327568200549152,6.1219368095641,0.0386639235971621,4,33.7210095061463,0.10687725431020184,33.70122877159368,0.10892493930721661,5.305851955414233,0.018093843738740595,4,0.0,0.0008580954296633637,0.0,0.0012632468667266744
2001953.125,14565.404781284331,1.6725251992015862,14638.92721423659,3.362351940578536,38.28640770867729,0.20563169927717595,38.22861541334038,0.20846798976145345,6.0579095370997305,0.03462923417964351,4,33.874677745746304,0.07434564091704571,33.84514009859243,0.07317412174690134,5.329757491460537,0.012155169725398813,4,-0.007908945957657558,0.0009973886421484497,0.043763204787883446,0.0019950244613414444
5000000.0,14413.92828557231,3.517795143335484,15045.048615596726,9.1045932638388,37.245316019402,0.15688928081048853,37.1363546271117,0.1463579362743895,5.876470868290982,0.024311949547240787,4,34.25334441395738,0.21235366815518275,34.04247108352972,0.22600102941446956,5.362536724838826,0.03754169923828403,4,-0.0987129754571016,0.0021198371310697816,0.2814500844055006,0.0052563135094952675
10000000.0,14089.497766789504,8.530350091352165,14961.214482928941,20.07628264156805,31.414515423863076,0.2082987810483228,31.375430337372244,0.21060209419413417,4.919506700560174,0.034983736577098606,3,30.62381213428584,0.19352390102486552,30.438027503098454,0.22305400993062535,4.763791944036288,0.037052161118044005,3,-0.29644986352176894,0.005258787835730373,0.2329151557783895,0.011655495987055899
14501953.125,13703.48857347038,4.802258321708247,14621.803643617855,3.303380973954804,29.74322900211073,0.14514085279637445,29.728746948735722,0.14613567560124846,4.64597125394281,0.02427502916964275,1,29.419086243261045,0.0941617601578006,29.405597060840137,0.09461106486398274,4.592291870571452,0.015716123731558566,1,-0.5377372746605188,0.0030438880998952663,0.033597125047413245,0.001962329906186306
15000000.0,13659.011297860037,11.002709061090126,14720.365147075072,24.050881235108843,29.608067491313808,0.19934171387561667,29.595448523998435,0.201521039236294,4.623828658471501,0.033475255687092156,1,29.174729088801655,0.13685650335952967,29.134747583096207,0.14252592409401735,4.547300262972792,0.023675402673424786,1,-0.5659748296660035,0.00699672286231579,0.09194983697762711,0.014191448243243726
18496093.75,13324.644067943747,4.77388592533172,15096.927736868593,7.946513176626031,28.415866465599073,0.15664000277920784,28.407523999945454,0.1549603515995233,4.426499003313198,0.025740922192611957,1,28.386703737276655,0.12995323291104163,28.365768138299522,0.12915163748315983,4.419562813671018,0.021453760379262513,1,-0.7812477777653609,0.0031119365050733564,0.31134970091274966,0.004571959120599193
20000000.0,13204.446191361014,24.129001687317487,15175.054285032718,100.97596911169038,28.07073884097473,0.22055965491890867,28.051079371138695,0.21625702320478346,4.3672889320828405,0.03592309355561189,1,28.270607565134032,0.22609884985483775,28.256190734695185,0.2243882232840584,4.401360587158669,0.03727379124319918,1,-0.8599562916695958,0.015872066324890115,0.3561832424564674,0.057796572409356324
30000000.0,13252.420287771858,20.021005441843307,13488.23998041223,31.2092933268281,24.91350468131119,0.22008406885165346,24.91350468131119,0.22008406885165346,3.8460971231413934,0.03655881542386274,0,24.626193325811393,0.23143248189321708,24.626193325811393,0.23143248189321708,3.7983709843540523,0.03844393386930517,0,-0.8284561014300624,0.013122149760931592,-0.6673161393626653,0.020097542593584816
35000000.0,13655.54461211379,23.732616636579735,11621.70461351115,21.797868072703306,23.958426560618165,0.26913415391825085,23.958426560618165,0.26913415391825085,3.6874462725279344,0.04470667008608811,0,22.996036632703294,0.1635034163550749,22.996036632703294,0.1635034163550749,3.527580835997225,0.027160035939381242,0,-0.5681796064936174,0.015095618284236912,-1.9610251668031795,0.01629140325976679
