adc_range_vpp,channel,noise_rms_codes_mean,noise_rms_codes_std,noise_rms_adc_uv_mean,noise_rms_adc_uv_std,noise_density_dbfs_hz_mean,noise_density_dbfs_hz_std,noise_floor_dbfs_bin_mean,noise_floor_dbfs_bin_std
1,ch1,90.70806418373994,0.7200560832151346,5536.380870589596,43.94873554779878,-112.25208419338364,0.09077367656617953,-72.35508375978176,0.0907736765661784
1,ch2,178.00529689243777,1.115030408754079,10864.58110915758,68.05605522180649,-106.34959941700049,0.07663875192320241,-66.4525989833986,0.07663875192320026
2,ch1,48.11559223388042,1.8556579770016461,5873.485380112355,226.52074914570892,-117.79537575773104,0.3784955160338416,-77.89837532412915,0.3784955160338411
2,ch2,99.76213370828177,0.7655621444607054,12177.994837436738,93.45241021248837,-111.37100601763298,0.06956178705210078,-71.47400558403112,0.06956178705210286
