input_frequency_hz,bin_offset,channel,dominant_bin,bin_frequency_hz_mean,bin_frequency_hz_std,bin_error_hz_mean,bin_error_hz_std,interpolated_frequency_hz_mean,interpolated_frequency_hz_std,interpolated_error_hz_mean,interpolated_error_hz_std,fractional_bin_offset_mean,fractional_bin_offset_std
5000000.0,0.0,ch1,512,5000000.0,0.0,0.0,0.0,5000040.802500689,5.6676940728233145,40.80250068940222,5.6676940728233145,0.004178176070512915,0.0005803718730800739
5000000.0,0.0,ch2,512,5000000.0,0.0,0.0,0.0,5000037.842753845,6.1865887152352235,37.842753845267,6.1865887152352235,0.0038750979937697628,0.0006335066844477842
5002441.0,0.25,ch1,512,5000000.0,0.0,-2441.0,0.0,5002637.396988321,4.805030661664799,196.3969883210957,4.805030661664799,0.27006945160407103,0.0004920351397325142
5002441.0,0.25,ch2,512,5000000.0,0.0,-2441.0,0.0,5002633.440407743,5.182704833097275,192.44040774274617,5.182704833097275,0.26966429775288103,0.0005307089749275046
5004883.0,0.5,ch1,513,5009765.625,0.0,4882.625,0.0,5004917.319033707,3.015420662172343,34.31903370656073,3.015420662172343,-0.4964665309483068,0.00030877907579626615
5004883.0,0.5,ch2,513,5009765.625,0.0,4882.625,0.0,5004914.671337998,3.8464932746493674,31.67133799754083,3.8464932746493674,-0.4967376549890231,0.0003938809113373005
5007324.0,0.75,ch1,513,5009765.625,0.0,2441.625,0.0,5007212.42504804,7.3548929239575624,-111.5749519597739,7.3548929239575624,-0.26144767508057754,0.0007531410354417556
5007324.0,0.75,ch2,513,5009765.625,0.0,2441.625,0.0,5007208.989017698,6.6670784774420415,-115.01098230201751,6.6670784774420415,-0.26179952458772,0.0006827088360800828
