input_frequency_hz,ch1_amplitude_pp_codes_mean,ch1_amplitude_pp_codes_std,ch2_amplitude_pp_codes_mean,ch2_amplitude_pp_codes_std,ch1_snr_db_mean,ch1_snr_db_std,ch1_sinad_db_mean,ch1_sinad_db_std,ch1_enob_mean,ch1_enob_std,ch1_n_harmonics_used,ch2_snr_db_mean,ch2_snr_db_std,ch2_sinad_db_mean,ch2_sinad_db_std,ch2_enob_mean,ch2_enob_std,ch2_n_harmonics_used,ch1_response_db,ch1_response_std_db,ch2_response_db,ch2_response_std_db
996093.75,5160.349245482476,0.8532679181108298,4918.906554278476,1.979112185187986,31.244261298064792,0.11045338183070144,31.230050410203226,0.1118677996269808,4.895357210997214,0.018582690967936903,4,28.52461415733863,0.09810576971964255,28.505997827977314,0.09982082038437412,4.442856782056031,0.016581531625311348,4,0.0,0.0014362188712130936,0.0,0.0034947502726882206
2001953.125,5175.419227133241,0.8726756987810392,4946.352539689973,1.8212903202252049,31.087453639949796,0.13309833260172116,31.06933092275409,0.13106017392658206,4.868659621719948,0.021770793011060163,4,27.98367888565255,0.10693058452310678,27.923156982138984,0.10620993367129712,4.346039365803817,0.017642846124800066,4,0.025328796899798833,0.0014646088513359087,0.04832988430964313,0.0031982206268993093
5000000.0,5176.28133907232,3.4669184609916637,5061.696070354473,5.551786885294973,31.01683027384488,0.23791236136707525,30.832468823794148,0.226609424927512,4.829313758105339,0.03764276161586557,4,28.546124039301606,0.4563340746898039,28.00010592407029,0.28898869698234964,4.358821582071477,0.04800476694058974,4,0.026775556130887737,0.005817549156194182,0.24854984298401223,0.009526887333705903
10000000.0,5057.841274476041,10.652220159302942,5343.201364399332,40.2843701875925,30.165796194188324,0.19897680167303025,29.937467572909327,0.23700932373425945,4.6806424539716485,0.03937031955718591,3,29.323755439232663,1.1942301072801627,28.651862702312094,1.253021027697888,4.467086827626594,0.20814302785679215,3,-0.17427797848592047,0.0182931815537572,0.7186593824019966,0.06548613269934683
14501953.125,4831.688496206878,2.3320297532666654,5641.630982238907,2.9853946124723865,28.9195979072254,0.10524024852474337,28.904117825526107,0.10439618002420378,4.5089896720143035,0.017341558143555546,1,28.14941263300785,0.11031680572609595,28.10625531296778,0.11425452199518368,4.37645437092488,0.01897915647760537,1,-0.5716033594284939,0.004192272139534676,1.1907220682657758,0.00459633184298033
15000000.0,4949.34568880547,10.311949036522238,5758.902674743284,12.716403872413752,28.472588843473783,0.31566824530895643,28.442355116427354,0.32765556739083385,4.4322849030610225,0.05442783511475649,1,28.673993362680243,1.2013010762735192,28.62748160710688,1.2218399477378872,4.463036811811775,0.2029634464680876,1,-0.36262613528871895,0.018097028762240425,1.3694233359083072,0.01917957063474291
18496093.75,4577.867678512145,2.250819351049671,5881.807754194053,2.8679776983831653,26.758473201690474,0.12192477095162432,26.751191515606354,0.11983448308485424,4.151360716878132,0.01990606031309862,1,26.9607520832854,0.09951854014187493,26.95052363219845,0.098814944553352,4.184472364152566,0.016414442616835834,1,-1.0403171936113067,0.004270627692059609,1.552845066658585,0.004235251952059309
20000000.0,4554.924610106216,22.67153989199568,5879.342552990642,40.2748229203641,26.626894899450427,0.3829842360531408,26.60726087800466,0.37902161352404196,4.1274519730904755,0.06296040091761494,1,26.854662904995035,0.936450135213332,26.839077593021493,0.9317369099878945,4.165959733060048,0.1547735730876902,1,-1.0839580370805866,0.04323287656395949,1.5492038469916691,0.05950030363530198
30000000.0,4082.043523205632,21.295928484370183,4212.94263748115,27.583173394332174,23.12737057264672,0.2150486640461453,23.12737057264672,0.2150486640461453,3.5493971050908173,0.035722369442881284,0,22.42691940112261,0.5087318501064317,22.42691940112261,0.5087318501064317,3.4330430898874766,0.08450695184492221,0,-2.0360292837187886,0.04531408925549738,-1.3456605265536539,0.05686865941142379
35000000.0,3726.4679119152192,6.616336652411239,3507.3299986173442,9.24614353292829,21.979073941980268,0.17943162986187022,21.979073941980268,0.17943162986187022,3.3586501564751274,0.02980591858170591,0,21.103327920755888,0.18925976526990063,21.103327920755888,0.18925976526990063,3.2131773954744,0.03143849921426916,0,-2.8276341830544838,0.015421780444526247,-2.9378388482728797,0.022898039915372655
