adc_range_vpp,point,attenuation,gain_pct,channel,snr_db_mean,snr_db_std,sinad_db_mean,sinad_db_std,enob_mean,enob_std,noise_floor_dbfs_mean,noise_floor_dbfs_std,peak_to_peak_codes_mean,peak_to_peak_codes_std,h2_dbfs_mean,h2_dbfs_std,h3_dbfs_mean,h3_dbfs_std,h4_dbfs_mean,h4_dbfs_std,h5_dbfs_mean,h5_dbfs_std
1,P1,1:1,49.5,ch1,24.833922813138,1.124866195535903,24.772401640473838,1.1070751462213884,3.8226580798129293,0.18389952595039674,-58.55748183251469,1.1248576968898825,13983.7,292.31111660162514,-55.06205615710186,1.8381646624860406,-41.821373566312424,1.042447962236714,-56.42101549837247,2.546684465372495,-55.63864449604365,3.824942855800094
1,P1,1:1,49.5,ch2,21.94983454769556,0.6306254357691118,21.917727481391033,0.6276750837483693,3.3484597145167827,0.10426496407780224,-55.453171410419785,0.6280874825935867,14906.3,244.1252183249863,-52.426683222391446,3.7007293312721523,-42.43652620049054,2.140318199180507,-52.41150902459988,3.0677319556044886,-51.719447759447654,3.4145805959771214
1,P1,1:1,49.5,average,25.437208412732723,1.2891096754168638,25.376743089963064,1.2752896908649716,3.923047024910808,0.21184214133969617,-59.048388304491674,1.2901188701369923,14093.3,250.19994226840086,-55.950590502351716,3.282144083830884,-42.561814370477315,1.6309193166790705,-55.0629594076536,2.777756026053549,-55.73345991166583,3.5953683994707943
1,P2,1:1,45.44,ch1,32.95122886237175,0.4837435859025511,32.84614503784636,0.4767733791063205,5.163811468080792,0.07919823573194687,-65.93684782963905,0.4824383603431379,14103.7,112.24383180281123,-54.29499579358213,3.9055522319433846,-48.89378123789426,2.9247415987698626,-59.40091564680112,4.948205403588277,-57.326275945247815,5.19652094160162
1,P2,1:1,45.44,ch2,28.454455633217776,0.2666467388442105,28.35811683039363,0.25126629537324946,4.418291832291301,0.04173858727130397,-61.227498182529395,0.2676437043621217,14860.3,129.01769904422673,-47.469477639890144,6.352110164935224,-50.33614832915329,3.221038468634226,-51.326256426049795,3.572585087056393,-49.98786657328559,3.342951895223959
1,P2,1:1,45.44,average,32.624691810931054,0.4932469715397378,32.526550218994416,0.487523075768423,5.1107226277399365,0.08098389962930615,-65.49944863228863,0.4924505896943009,14282.5,104.77091411476968,-53.086491431239075,4.697265967884169,-51.079553800743966,3.6152197203256016,-55.958738615206585,1.8448188437301336,-54.152922874030786,3.142087675658956
1,P3,1:100,55.5,ch1,21.958067941765744,0.1454814052334247,21.895079717087093,0.13538599493410255,3.3446976274231046,0.022489367929252903,-55.1607990909864,0.14115487313321246,15221.4,119.18724764000551,-44.84905417862835,2.9868689223258515,-43.56125990613676,2.9636053458485185,-44.302156060933086,2.437966932645831,-43.59216950615693,1.6554320522644212
1,P3,1:100,55.5,ch2,26.422166745903496,0.1419318803271771,26.338946251507725,0.12273456282658707,4.082881437127528,0.020387801133984414,-59.49043498798545,0.13531960116818112,14574.8,113.3772463945037,-48.374747422373154,2.8471487031666496,-44.24530997898224,2.4627517885280823,-48.75228010754863,2.8644981012860145,-50.08182699896252,2.8285681427609375
1,P3,1:100,55.5,average,24.86683140978107,0.17597782678155943,24.790651369848494,0.15612011429551442,3.8256895963203474,0.025933573803241634,-58.0018649375895,0.16981218190522168,14725.85,97.70961797307594,-46.96719943361269,2.858032095477804,-44.42094072625012,2.5799416157710633,-46.34259201627724,2.1155261323220738,-47.36978221459714,2.8887749250371653
1,P4,1:100,52.53,ch1,29.063502784561926,0.20667012391789324,28.983588562708928,0.20306497993067385,4.522190791147663,0.033731724240975806,-61.2758816288552,0.19963744577111722,15821.6,100.46359207859001,-51.49196040992092,3.1046820247617273,-46.80571427697468,2.474582909497724,-51.94096040823903,2.3438734299677995,-50.26357725586081,4.6038401720070645
