gain_pct,channel,amplitude_pp_codes_mean,amplitude_pp_codes_std,snr_db_mean,snr_db_std,sinad_db_mean,sinad_db_std,enob_mean,enob_std,noise_floor_dbfs_mean,noise_floor_dbfs_std,h2_dbfs_mean,h2_dbfs_std,h3_dbfs_mean,h3_dbfs_std,h4_dbfs_mean,h4_dbfs_std,h5_dbfs_mean,h5_dbfs_std
45.0,ch1,1611.1577786083321,2.7951959774899815,26.002205015026114,0.19715335522241192,25.670017520688653,0.24266606179566963,3.9717637077555907,0.04030997704247005,-77.46131707287299,0.18789982622243231,-64.60921886329344,5.4125943386797655,-57.547008008695684,1.8548391040487802,-56.9768581702496,3.496920293008977,-62.6698852598681,3.7862186176216768
45.0,ch2,1530.0897366335016,22.60182889924878,20.495348141710526,0.33252598243155335,19.549041449273204,0.2215746905342007,2.954990273965649,0.03680642699903672,-72.40824578898724,0.3768849292470584,-60.36652164232366,5.7635609120407905,-44.56670359813491,1.2522418313987662,-59.85709127326014,3.9694657916850584,-48.28599644424082,2.2946361670467716
47.5,ch1,2800.186844530152,4.056315530754158,28.397432474553966,0.3537278007943853,28.207324927262174,0.33516606371098623,4.393243343399032,0.055675425865612506,-75.05900219465495,0.3650976333096412,-64.60077403051898,4.520585502680707,-56.373721074242454,2.5010369525181977,-66.74859416383362,4.722145901646236,-58.49565974344055,4.306385500098534
47.5,ch2,2685.5860349527784,14.492247957857101,24.204079120307817,1.1121067302041865,23.913086900292903,1.1629585561008322,3.679914767490515,0.19318248440213154,-71.22640203074477,1.1362335757665054,-58.22119308630461,4.335555311815364,-53.22544357231344,4.095670688707467,-56.83877169940776,4.023974393257952,-50.64505900898405,3.3002704494519786
50.0,ch1,4850.828995515124,3.861970901127938,29.254301996576327,0.09222275687155328,29.130627929735255,0.09247978950576365,4.546615935171969,0.015362091280027284,-71.14264449987816,0.08929275245898206,-62.44211820261686,1.8592360458467687,-57.9768330766134,3.5744219499518457,-57.770052197231564,2.6392471192842946,-53.9808172284974,1.7998776269512855
50.0,ch2,4633.628576530841,8.678172106098641,27.24011201080403,0.2597510564332589,26.440482040503404,0.2654351384876456,4.099747847259702,0.044092215695622106,-69.52369394408508,0.24647973137197463,-54.29615178478009,5.095143209701896,-44.7102295686182,2.3514872939778018,-50.10068390493261,6.562509850900332,-46.901187584729506,4.109057269157239
52.5,ch1,8478.665580753117,5.745939278909219,29.75456181874232,0.17264760786568356,29.63144625188779,0.15582590473184565,4.629808347489666,0.02588470178269861,-66.7949948174838,0.17094958674336258,-55.85419001389047,2.056193519976632,-53.50630981514278,3.2439900555053955,-54.717541264666956,4.202462578666827,-51.048180948340814,3.917557327708065
52.5,ch2,8103.123356085959,7.398903696688765,30.86531352242286,0.40261080288715706,30.57103015299911,0.3822184518088034,4.785885407474937,0.06349143717754212,-68.29495196793866,0.39937086184864984,-50.03617311540396,1.8056471452312124,-55.612885962126526,7.450646026602359,-50.93252006798002,6.000216691890845,-53.20446593967047,5.129192308849252
55.0,ch1,14734.823778630216,8.786196543279393,30.040627750560628,0.21286945653804387,29.8796312629554,0.23167924070680318,4.671035093514186,0.03848492370544899,-62.27794556060691,0.2131949320383278,-50.719376132870444,4.529468831230562,-44.43386466416224,2.268462748284548,-50.971165416783506,4.546591329197901,-47.52769129271335,4.642058562597342
55.0,ch2,14082.831990536366,9.884286186773888,33.502485828113315,0.28918044614654725,33.15490567693737,0.28618982524766207,5.215100610786938,0.04753983808100691,-66.13203688588482,0.28643306420532244,-49.958248916859134,5.237820343137847,-44.3106531854132,2.0124818452889714,-51.40001320742279,5.128914004156832,-51.30865703723332,5.691901519689542
